Gene_ID,DESeq2_log2FC,edgeR_log2FC,Average_log2FC,Gene name,Gene description,Gene type
ENSMUSG00000002109,0.336079174,0.331005415,0.333542294,Ddb2,damage specific DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1355314],protein_coding
ENSMUSG00000002227,0.509082466,0.50141576,0.505249113,Mov10,Mov10 RISC complex RNA helicase [Source:MGI Symbol;Acc:MGI:97054],protein_coding
ENSMUSG00000002625,0.38176989,0.372851981,0.377310936,Akap8l,A kinase (PRKA) anchor protein 8-like [Source:MGI Symbol;Acc:MGI:1860606],protein_coding
ENSMUSG00000002808,-0.240413997,-0.248203048,-0.244308523,Epdr1,ependymin related protein 1 (zebrafish) [Source:MGI Symbol;Acc:MGI:2145369],protein_coding
ENSMUSG00000002881,-0.322128988,-0.326170166,-0.324149577,Nab1,Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564],protein_coding
ENSMUSG00000002885,-0.633159856,-0.638255043,-0.63570745,Adgre5,adhesion G protein-coupled receptor E5 [Source:MGI Symbol;Acc:MGI:1347095],protein_coding
ENSMUSG00000003032,-0.867193962,-0.873729766,-0.870461864,Klf4,Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287],protein_coding
ENSMUSG00000003316,-0.280361579,-0.284508717,-0.282435148,Glg1,golgi apparatus protein 1 [Source:MGI Symbol;Acc:MGI:104967],protein_coding
ENSMUSG00000003363,-0.299401939,-0.30846687,-0.303934405,Pld3,"phospholipase D family, member 3 [Source:MGI Symbol;Acc:MGI:1333782]",protein_coding
ENSMUSG00000003477,-0.944180574,-0.947666834,-0.945923704,Inmt,indolethylamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:102963],protein_coding
ENSMUSG00000003518,-0.364066789,-0.368536474,-0.366301631,Dusp3,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) [Source:MGI Symbol;Acc:MGI:1919599],protein_coding
ENSMUSG00000003545,-1.338910194,-1.346706711,-1.342808452,Fosb,FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575],protein_coding
ENSMUSG00000003617,-0.589773385,-0.593833867,-0.591803626,Cp,ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476],protein_coding
ENSMUSG00000003992,0.309955592,0.304493501,0.307224546,Ssbp2,single-stranded DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1914220],protein_coding
ENSMUSG00000004270,0.412994462,0.404167268,0.408580865,Lpcat3,lysophosphatidylcholine acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1315211],protein_coding
ENSMUSG00000004655,-2.374016972,-2.375457696,-2.374737334,Aqp1,aquaporin 1 [Source:MGI Symbol;Acc:MGI:103201],protein_coding
ENSMUSG00000004677,0.289244441,0.283139897,0.286192169,Myo9b,myosin IXb [Source:MGI Symbol;Acc:MGI:106624],protein_coding
ENSMUSG00000004891,-0.58578857,-0.592642021,-0.589215295,Nes,nestin [Source:MGI Symbol;Acc:MGI:101784],protein_coding
ENSMUSG00000005237,0.664878129,0.656776956,0.660827542,Dnah2,"dynein, axonemal, heavy chain 2 [Source:MGI Symbol;Acc:MGI:107731]",protein_coding
ENSMUSG00000005268,-1.532652054,-1.542640141,-1.537646098,Prlr,prolactin receptor [Source:MGI Symbol;Acc:MGI:97763],protein_coding
ENSMUSG00000005312,-0.24950153,-0.255131189,-0.252316359,Ubqln1,ubiquilin 1 [Source:MGI Symbol;Acc:MGI:1860276],protein_coding
ENSMUSG00000005357,0.353723348,0.345005124,0.349364236,Slc1a6,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6 [Source:MGI Symbol;Acc:MGI:1096331]",protein_coding
ENSMUSG00000005610,-0.275942242,-0.281683253,-0.278812747,Eif4g2,"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]",protein_coding
ENSMUSG00000005672,-0.494077762,-0.499895167,-0.496986465,Kit,KIT proto-oncogene receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:96677],protein_coding
ENSMUSG00000005718,0.54004054,0.532265176,0.536152858,Tfap4,transcription factor AP4 [Source:MGI Symbol;Acc:MGI:103239],protein_coding
ENSMUSG00000005802,-0.401408287,-0.404870801,-0.403139544,Slc30a4,"solute carrier family 30 (zinc transporter), member 4 [Source:MGI Symbol;Acc:MGI:1345282]",protein_coding
ENSMUSG00000005871,-0.385407688,-0.38680858,-0.386108134,Apc,"APC, WNT signaling pathway regulator [Source:MGI Symbol;Acc:MGI:88039]",protein_coding
ENSMUSG00000006241,0.44347095,0.435068809,0.439269879,Ccdc159,coiled-coil domain containing 159 [Source:MGI Symbol;Acc:MGI:1914369],protein_coding
ENSMUSG00000006389,-1.704654693,-1.699236202,-1.701945447,Mpl,myeloproliferative leukemia virus oncogene [Source:MGI Symbol;Acc:MGI:97076],protein_coding
ENSMUSG00000006930,0.438080675,0.425730386,0.431905531,Hap1,huntingtin-associated protein 1 [Source:MGI Symbol;Acc:MGI:1261831],protein_coding
ENSMUSG00000006958,0.53956703,0.529588416,0.534577723,Chrd,chordin [Source:MGI Symbol;Acc:MGI:1313268],protein_coding
ENSMUSG00000007122,0.909739456,0.899178011,0.904458733,Casq1,calsequestrin 1 [Source:MGI Symbol;Acc:MGI:1309468],protein_coding
ENSMUSG00000007594,-0.692155559,-0.69628448,-0.694220019,Hapln4,hyaluronan and proteoglycan link protein 4 [Source:MGI Symbol;Acc:MGI:2679531],protein_coding
ENSMUSG00000007617,-0.636704791,-0.63887066,-0.637787725,Homer1,homer scaffolding protein 1 [Source:MGI Symbol;Acc:MGI:1347345],protein_coding
ENSMUSG00000007653,-0.527086704,-0.525879466,-0.526483085,Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2 [Source:MGI Symbol;Acc:MGI:95620]",protein_coding
ENSMUSG00000007656,-0.375930345,-0.382662576,-0.37929646,Arpp19,cAMP-regulated phosphoprotein 19 [Source:MGI Symbol;Acc:MGI:1891691],protein_coding
ENSMUSG00000007682,-0.620979111,-0.624828778,-0.622903944,Dio2,"deiodinase, iodothyronine, type II [Source:MGI Symbol;Acc:MGI:1338833]",protein_coding
ENSMUSG00000008129,0.540731424,0.531654215,0.536192819,4930432K21Rik,RIKEN cDNA 4930432K21 gene [Source:MGI Symbol;Acc:MGI:1921916],protein_coding
ENSMUSG00000008384,-0.485610749,-0.496395563,-0.491003156,Sertad1,SERTA domain containing 1 [Source:MGI Symbol;Acc:MGI:1913438],protein_coding
ENSMUSG00000008496,0.70963991,0.701271071,0.705455491,Pou2f2,"POU domain, class 2, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101897]",protein_coding
ENSMUSG00000009687,0.616165827,0.607804666,0.611985247,Fxyd5,FXYD domain-containing ion transport regulator 5 [Source:MGI Symbol;Acc:MGI:1201785],protein_coding
ENSMUSG00000010803,-0.394088467,-0.396209905,-0.395149186,Gabra1,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1 [Source:MGI Symbol;Acc:MGI:95613]",protein_coding
ENSMUSG00000011877,-0.403558312,-0.410409055,-0.406983684,Git1,GIT ArfGAP 1 [Source:MGI Symbol;Acc:MGI:1927140],protein_coding
ENSMUSG00000013089,-0.392031277,-0.397486308,-0.394758792,Etv5,ets variant 5 [Source:MGI Symbol;Acc:MGI:1096867],protein_coding
ENSMUSG00000013584,-0.666643137,-0.678235962,-0.672439549,Aldh1a2,"aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]",protein_coding
ENSMUSG00000014077,-0.289600732,-0.296427181,-0.293013956,Chp1,calcineurin-like EF hand protein 1 [Source:MGI Symbol;Acc:MGI:1927185],protein_coding
ENSMUSG00000014232,0.325681519,0.317685889,0.321683704,Cluap1,clusterin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924029],protein_coding
ENSMUSG00000014554,0.381279909,0.374137405,0.377708657,Dguok,deoxyguanosine kinase [Source:MGI Symbol;Acc:MGI:1351602],protein_coding
ENSMUSG00000015312,-0.542496393,-0.550785632,-0.546641013,Gadd45b,growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776],protein_coding
ENSMUSG00000015354,-0.613511876,-0.623027104,-0.61826949,Pcolce2,procollagen C-endopeptidase enhancer 2 [Source:MGI Symbol;Acc:MGI:1923727],protein_coding
ENSMUSG00000015377,0.419377285,0.410003211,0.414690248,Dennd6b,DENN/MADD domain containing 6B [Source:MGI Symbol;Acc:MGI:1916690],protein_coding
ENSMUSG00000015652,-1.749000924,-1.755134049,-1.752067486,Steap1,six transmembrane epithelial antigen of the prostate 1 [Source:MGI Symbol;Acc:MGI:1917608],protein_coding
ENSMUSG00000015653,-0.572692784,-0.578682776,-0.57568778,Steap2,six transmembrane epithelial antigen of prostate 2 [Source:MGI Symbol;Acc:MGI:1921301],protein_coding
ENSMUSG00000015852,0.361106911,0.352904209,0.35700556,Fcrls,"Fc receptor-like S, scavenger receptor [Source:MGI Symbol;Acc:MGI:1933397]",protein_coding
ENSMUSG00000015968,0.340407552,0.336370151,0.338388852,Cacna1d,"calcium channel, voltage-dependent, L type, alpha 1D subunit [Source:MGI Symbol;Acc:MGI:88293]",protein_coding
ENSMUSG00000016179,-0.481632247,-0.488268466,-0.484950357,Camk1g,calcium/calmodulin-dependent protein kinase I gamma [Source:MGI Symbol;Acc:MGI:2388073],protein_coding
ENSMUSG00000016494,-0.643596916,-0.646692615,-0.645144765,Cd34,CD34 antigen [Source:MGI Symbol;Acc:MGI:88329],protein_coding
ENSMUSG00000016763,-0.35984677,-0.363817533,-0.361832152,Scube1,"signal peptide, CUB domain, EGF-like 1 [Source:MGI Symbol;Acc:MGI:1890616]",protein_coding
ENSMUSG00000017167,-0.31227532,-0.319473227,-0.315874273,Cntnap1,contactin associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1858201],protein_coding
ENSMUSG00000017418,-0.418674062,-0.421496258,-0.42008516,Arl5b,ADP-ribosylation factor-like 5B [Source:MGI Symbol;Acc:MGI:1923119],protein_coding
ENSMUSG00000017493,-0.40712892,-0.415709784,-0.411419352,Igfbp4,insulin-like growth factor binding protein 4 [Source:MGI Symbol;Acc:MGI:96439],protein_coding
ENSMUSG00000017639,-0.266861233,-0.274978057,-0.270919645,Rab11fip4,RAB11 family interacting protein 4 (class II) [Source:MGI Symbol;Acc:MGI:2442920],protein_coding
ENSMUSG00000017677,0.348770272,0.343324755,0.346047513,Wsb1,WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139],protein_coding
ENSMUSG00000017679,-0.316986196,-0.3238407,-0.320413448,Ttpal,tocopherol (alpha) transfer protein-like [Source:MGI Symbol;Acc:MGI:1923330],protein_coding
ENSMUSG00000017692,0.341085012,0.331884133,0.336484573,Rhbdl3,rhomboid like 3 [Source:MGI Symbol;Acc:MGI:2179276],protein_coding
ENSMUSG00000017707,-0.299066405,-0.305611398,-0.302338901,Serinc3,serine incorporator 3 [Source:MGI Symbol;Acc:MGI:1349457],protein_coding
ENSMUSG00000017723,-1.496740993,-1.496500105,-1.496620549,Wfdc2,WAP four-disulfide core domain 2 [Source:MGI Symbol;Acc:MGI:1914951],protein_coding
ENSMUSG00000018417,-0.353646234,-0.357851442,-0.355748838,Myo1b,myosin IB [Source:MGI Symbol;Acc:MGI:107752],protein_coding
ENSMUSG00000018537,0.45371828,0.44696176,0.45034002,Pcgf2,polycomb group ring finger 2 [Source:MGI Symbol;Acc:MGI:99161],protein_coding
ENSMUSG00000018548,-0.383844909,-0.387992543,-0.385918726,Trim37,tripartite motif-containing 37 [Source:MGI Symbol;Acc:MGI:2153072],protein_coding
ENSMUSG00000018648,-0.370590965,-0.378861435,-0.3747262,Dusp14,dual specificity phosphatase 14 [Source:MGI Symbol;Acc:MGI:1927168],protein_coding
ENSMUSG00000018727,0.440176989,0.43209115,0.436134069,Cpsf4l,cleavage and polyadenylation specific factor 4-like [Source:MGI Symbol;Acc:MGI:1277182],protein_coding
ENSMUSG00000018830,-0.72589351,-0.731669524,-0.728781517,Myh11,"myosin, heavy polypeptide 11, smooth muscle [Source:MGI Symbol;Acc:MGI:102643]",protein_coding
ENSMUSG00000019124,-0.237338229,-0.243610722,-0.240474475,Scrn1,secernin 1 [Source:MGI Symbol;Acc:MGI:1917188],protein_coding
ENSMUSG00000019235,0.370185739,0.361549661,0.3658677,Rps6kl1,ribosomal protein S6 kinase-like 1 [Source:MGI Symbol;Acc:MGI:2443413],protein_coding
ENSMUSG00000019734,0.647500164,0.638854997,0.643177581,Tmc4,transmembrane channel-like gene family 4 [Source:MGI Symbol;Acc:MGI:2669035],protein_coding
ENSMUSG00000019737,0.753431002,0.74316616,0.748298581,Syne4,"spectrin repeat containing, nuclear envelope family member 4 [Source:MGI Symbol;Acc:MGI:2141950]",protein_coding
ENSMUSG00000019768,0.613802344,0.604715981,0.609259162,Esr1,estrogen receptor 1 (alpha) [Source:MGI Symbol;Acc:MGI:1352467],protein_coding
ENSMUSG00000019838,0.5437543,0.537750162,0.540752231,Slc16a10,"solute carrier family 16 (monocarboxylic acid transporters), member 10 [Source:MGI Symbol;Acc:MGI:1919722]",protein_coding
ENSMUSG00000019888,0.51656171,0.510099097,0.513330404,Mgat4c,"MGAT4 family, member C [Source:MGI Symbol;Acc:MGI:1914819]",protein_coding
ENSMUSG00000019916,-0.366283328,-0.372312779,-0.369298053,P4ha1,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",protein_coding
ENSMUSG00000019960,-1.077849567,-1.082269686,-1.080059626,Dusp6,dual specificity phosphatase 6 [Source:MGI Symbol;Acc:MGI:1914853],protein_coding
ENSMUSG00000020000,0.388546577,0.380001231,0.384273904,Moxd1,"monooxygenase, DBH-like 1 [Source:MGI Symbol;Acc:MGI:1921582]",protein_coding
ENSMUSG00000020023,0.404363476,0.397571115,0.400967296,Tmcc3,transmembrane and coiled coil domains 3 [Source:MGI Symbol;Acc:MGI:2442900],protein_coding
ENSMUSG00000020038,-0.409370196,-0.41722668,-0.413298438,Cry1,cryptochrome 1 (photolyase-like) [Source:MGI Symbol;Acc:MGI:1270841],protein_coding
ENSMUSG00000020057,0.363932188,0.358719932,0.36132606,Dram1,DNA-damage regulated autophagy modulator 1 [Source:MGI Symbol;Acc:MGI:1918962],protein_coding
ENSMUSG00000020080,-0.436185726,-0.444018792,-0.440102259,Hkdc1,hexokinase domain containing 1 [Source:MGI Symbol;Acc:MGI:2384910],protein_coding
ENSMUSG00000020154,-0.664773108,-0.6668775,-0.665825304,Ptprb,"protein tyrosine phosphatase, receptor type, B [Source:MGI Symbol;Acc:MGI:97809]",protein_coding
ENSMUSG00000020167,0.337066324,0.328558076,0.3328122,Tcf3,transcription factor 3 [Source:MGI Symbol;Acc:MGI:98510],protein_coding
ENSMUSG00000020189,-0.408162382,-0.41068806,-0.409425221,Osbpl8,oxysterol binding protein-like 8 [Source:MGI Symbol;Acc:MGI:2443807],protein_coding
ENSMUSG00000020218,-1.450015347,-1.446313475,-1.448164411,Wif1,Wnt inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1344332],protein_coding
ENSMUSG00000020241,0.797032794,0.788101438,0.792567116,Col6a2,"collagen, type VI, alpha 2 [Source:MGI Symbol;Acc:MGI:88460]",protein_coding
ENSMUSG00000020261,-0.32546261,-0.33035566,-0.327909135,Slc36a1,"solute carrier family 36 (proton/amino acid symporter), member 1 [Source:MGI Symbol;Acc:MGI:2445299]",protein_coding
ENSMUSG00000020262,-0.351631778,-0.357762517,-0.354697147,Adarb1,"adenosine deaminase, RNA-specific, B1 [Source:MGI Symbol;Acc:MGI:891999]",protein_coding
ENSMUSG00000020280,0.454538497,0.449745113,0.452141805,Pus10,pseudouridylate synthase 10 [Source:MGI Symbol;Acc:MGI:1921717],protein_coding
ENSMUSG00000020288,0.338348635,0.331337455,0.334843045,Ahsa2,"AHA1, activator of heat shock protein ATPase 2 [Source:MGI Symbol;Acc:MGI:1916133]",protein_coding
ENSMUSG00000020340,-0.309096248,-0.312380958,-0.310738603,Cyfip2,cytoplasmic FMR1 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924134],protein_coding
ENSMUSG00000020354,0.55212684,0.547371248,0.549749044,Sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:1346525]",protein_coding
ENSMUSG00000020361,-0.253534974,-0.25986349,-0.256699232,Hspa4,heat shock protein 4 [Source:MGI Symbol;Acc:MGI:1342292],protein_coding
ENSMUSG00000020366,-0.325251181,-0.330073806,-0.327662493,Mapk9,mitogen-activated protein kinase 9 [Source:MGI Symbol;Acc:MGI:1346862],protein_coding
ENSMUSG00000020396,-0.378999758,-0.385529268,-0.382264513,Nefh,"neurofilament, heavy polypeptide [Source:MGI Symbol;Acc:MGI:97309]",protein_coding
ENSMUSG00000020431,-0.398960813,-0.402433114,-0.400696963,Adcy1,adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677],protein_coding
ENSMUSG00000020436,-0.415189091,-0.419469588,-0.41732934,Gabrg2,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2 [Source:MGI Symbol;Acc:MGI:95623]",protein_coding
ENSMUSG00000020458,-0.290547779,-0.295884122,-0.29321595,Rtn4,reticulon 4 [Source:MGI Symbol;Acc:MGI:1915835],protein_coding
ENSMUSG00000020524,0.267765564,0.261572395,0.26466898,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]",protein_coding
ENSMUSG00000020564,0.352349211,0.345472037,0.348910624,Atxn7l1,ataxin 7-like 1 [Source:MGI Symbol;Acc:MGI:3584458],protein_coding
ENSMUSG00000020601,-0.400203925,-0.407141679,-0.403672802,Trib2,tribbles pseudokinase 2 [Source:MGI Symbol;Acc:MGI:2145021],protein_coding
ENSMUSG00000020607,-0.410626324,-0.418887692,-0.414757008,Lratd1,LRAT domain containing 1 [Source:MGI Symbol;Acc:MGI:2145011],protein_coding
ENSMUSG00000020634,-0.360626697,-0.363842002,-0.36223435,Ubxn2a,UBX domain protein 2A [Source:MGI Symbol;Acc:MGI:2442310],protein_coding
ENSMUSG00000020668,-0.299760717,-0.30450945,-0.302135084,Kif3c,kinesin family member 3C [Source:MGI Symbol;Acc:MGI:107979],protein_coding
ENSMUSG00000020674,0.366197339,0.361057465,0.363627402,Pxdn,peroxidasin [Source:MGI Symbol;Acc:MGI:1916925],protein_coding
ENSMUSG00000020681,-0.911409381,-0.924358816,-0.917884098,Ace,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:MGI Symbol;Acc:MGI:87874],protein_coding
ENSMUSG00000020704,0.414192908,0.406981029,0.410586969,Asic2,acid-sensing (proton-gated) ion channel 2 [Source:MGI Symbol;Acc:MGI:1100867],protein_coding
ENSMUSG00000020745,-0.269031312,-0.274089804,-0.271560558,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1 [Source:MGI Symbol;Acc:MGI:109520]",protein_coding
ENSMUSG00000020823,-0.247518538,-0.254140591,-0.250829565,Sec14l1,SEC14-like lipid binding 1 [Source:MGI Symbol;Acc:MGI:1921386],protein_coding
ENSMUSG00000020846,-0.525541243,-0.532576583,-0.529058913,Rflnb,refilin B [Source:MGI Symbol;Acc:MGI:1923816],protein_coding
ENSMUSG00000020866,0.302968648,0.296554809,0.299761728,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:MGI Symbol;Acc:MGI:1201678]",protein_coding
ENSMUSG00000020888,0.455787884,0.445799756,0.45079382,Dvl2,dishevelled segment polarity protein 2 [Source:MGI Symbol;Acc:MGI:106613],protein_coding
ENSMUSG00000020892,0.419472463,0.412666539,0.416069501,Aloxe3,arachidonate lipoxygenase 3 [Source:MGI Symbol;Acc:MGI:1345140],protein_coding
ENSMUSG00000020893,-0.498075998,-0.504792442,-0.50143422,Per1,period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283],protein_coding
ENSMUSG00000020953,-0.374813515,-0.382100973,-0.378457244,Coch,cochlin [Source:MGI Symbol;Acc:MGI:1278313],protein_coding
ENSMUSG00000021010,0.658633126,0.650328449,0.654480788,Npas3,neuronal PAS domain protein 3 [Source:MGI Symbol;Acc:MGI:1351610],protein_coding
ENSMUSG00000021180,0.316638321,0.312534345,0.314586333,Rps6ka5,"ribosomal protein S6 kinase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1920336]",protein_coding
ENSMUSG00000021215,-0.65020264,-0.65440236,-0.6523025,Net1,neuroepithelial cell transforming gene 1 [Source:MGI Symbol;Acc:MGI:1927138],protein_coding
ENSMUSG00000021250,-1.867780692,-1.866585478,-1.867183085,Fos,FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574],protein_coding
ENSMUSG00000021268,0.374316252,0.366392668,0.37035446,Meg3,maternally expressed 3 [Source:MGI Symbol;Acc:MGI:1202886],lncRNA
ENSMUSG00000021270,-0.274328627,-0.280346637,-0.277337632,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]",protein_coding
ENSMUSG00000021303,-0.29470316,-0.302164767,-0.298433964,Gng4,"guanine nucleotide binding protein (G protein), gamma 4 [Source:MGI Symbol;Acc:MGI:102703]",protein_coding
ENSMUSG00000021420,0.374970551,0.3680964,0.371533475,Fars2,phenylalanine-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1917205],protein_coding
ENSMUSG00000021448,-0.494579604,-0.497930594,-0.496255099,Shc3,src homology 2 domain-containing transforming protein C3 [Source:MGI Symbol;Acc:MGI:106179],protein_coding
ENSMUSG00000021458,0.507384874,0.500365353,0.503875114,Aopep,aminopeptidase O [Source:MGI Symbol;Acc:MGI:1919311],protein_coding
ENSMUSG00000021493,0.379146838,0.368753899,0.373950369,Pdlim7,PDZ and LIM domain 7 [Source:MGI Symbol;Acc:MGI:1914649],protein_coding
ENSMUSG00000021495,0.362761923,0.354156045,0.358458984,Fam193b,"family with sequence similarity 193, member B [Source:MGI Symbol;Acc:MGI:2385851]",protein_coding
ENSMUSG00000021496,0.519318361,0.509145802,0.514232081,Pcbd2,pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2 [Source:MGI Symbol;Acc:MGI:1919812],protein_coding
ENSMUSG00000021541,0.536859622,0.528511239,0.53268543,Trpc7,"transient receptor potential cation channel, subfamily C, member 7 [Source:MGI Symbol;Acc:MGI:1349470]",protein_coding
ENSMUSG00000021573,-0.289255097,-0.293715554,-0.291485326,Tppp,tubulin polymerization promoting protein [Source:MGI Symbol;Acc:MGI:1920198],protein_coding
ENSMUSG00000021585,-0.544232317,-0.547141307,-0.545686812,Cast,calpastatin [Source:MGI Symbol;Acc:MGI:1098236],protein_coding
ENSMUSG00000021587,-0.91612344,-0.917495637,-0.916809539,Pcsk1,proprotein convertase subtilisin/kexin type 1 [Source:MGI Symbol;Acc:MGI:97511],protein_coding
ENSMUSG00000021638,-0.450292945,-0.456988507,-0.453640726,Ocln,occludin [Source:MGI Symbol;Acc:MGI:106183],protein_coding
ENSMUSG00000021647,0.623358613,0.610694575,0.617026594,Cartpt,CART prepropeptide [Source:MGI Symbol;Acc:MGI:1351330],protein_coding
ENSMUSG00000021696,-0.48026739,-0.486748482,-0.483507936,Elovl7,"ELOVL family member 7, elongation of long chain fatty acids (yeast) [Source:MGI Symbol;Acc:MGI:1921809]",protein_coding
ENSMUSG00000021700,-0.349161695,-0.355032181,-0.352096938,Rab3c,"RAB3C, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914545]",protein_coding
ENSMUSG00000021708,-0.341582036,-0.345879735,-0.343730886,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2 [Source:MGI Symbol;Acc:MGI:109137],protein_coding
ENSMUSG00000021719,-0.361327504,-0.364360208,-0.362843856,Rgs7bp,regulator of G-protein signalling 7 binding protein [Source:MGI Symbol;Acc:MGI:106334],protein_coding
ENSMUSG00000021765,-0.528291066,-0.534264584,-0.531277825,Fst,follistatin [Source:MGI Symbol;Acc:MGI:95586],protein_coding
ENSMUSG00000021803,0.545018962,0.535759612,0.540389287,Cdhr1,cadherin-related family member 1 [Source:MGI Symbol;Acc:MGI:2157782],protein_coding
ENSMUSG00000021895,-0.354562309,-0.358577921,-0.356570115,Arhgef3,Rho guanine nucleotide exchange factor (GEF) 3 [Source:MGI Symbol;Acc:MGI:1918954],protein_coding
ENSMUSG00000021916,0.379806458,0.372420627,0.376113543,Glt8d1,glycosyltransferase 8 domain containing 1 [Source:MGI Symbol;Acc:MGI:1923735],protein_coding
ENSMUSG00000021966,0.901742538,0.894269942,0.89800624,Prss52,"protease, serine 52 [Source:MGI Symbol;Acc:MGI:1920632]",protein_coding
ENSMUSG00000022054,-0.490432749,-0.498922039,-0.494677394,Nefm,"neurofilament, medium polypeptide [Source:MGI Symbol;Acc:MGI:97314]",protein_coding
ENSMUSG00000022075,-0.324847106,-0.334072904,-0.329460005,Rhobtb2,Rho-related BTB domain containing 2 [Source:MGI Symbol;Acc:MGI:2180557],protein_coding
ENSMUSG00000022096,-0.523328217,-0.53013678,-0.526732498,Hr,lysine demethylase and nuclear receptor corepressor [Source:MGI Symbol;Acc:MGI:96223],protein_coding
ENSMUSG00000022098,0.324506644,0.315594693,0.320050668,Bmp1,bone morphogenetic protein 1 [Source:MGI Symbol;Acc:MGI:88176],protein_coding
